"App Name","App Id","Category","Rating","Rating Count","Installs","Minimum Installs","Maximum Installs","Free","Price","Currency","Size","Minimum Android","Developer Id","Developer Website","Developer Email","Released","Last Updated","Content Rating","Privacy Policy","Ad Supported","In App Purchases","Editors Choice","Scraped Time"
"Virtual Aesthetic Doctor","com.HueyGames.VAS","Medical",5,7,"100+",100,136,TRUE,0,"USD","38M","7.0 and up","Virtual Aesthetic Surgeons","https://www.virtualsurgerytraining.com/","info@virtualsurgerytraining.com","Oct 1, 2018","Sep 03, 2018","Teen","http://www.hueygames.com/msm_privacy",FALSE,TRUE,FALSE,2021-06-16 04:45:20
"Christian Cathedral","io.pushpay.christiancathedral","Lifestyle",0,0,"10+",10,29,TRUE,0,"USD","62M","5.0 and up","CECA - Christian Evangelical Churches of America","http://christiancathedral.org","chris@christiancathedral.org","Aug 31, 2018","May 06, 2021","Everyone","https://pushpay.com/legal-center/privacy/",FALSE,FALSE,FALSE,2021-06-16 03:36:06
"Horse Hotel - be the manager of your own ranch","com.tivola.horsehotel.free","Simulation",4.2,46599,"10,000,000+",1e+07,10764075,TRUE,0,"USD","82M","4.4 and up","Tivola","http://www.tivola.com","apps@tivola.de","Nov 8, 2017","Jan 18, 2021","Everyone","https://www.tivola.de/datenschutz_vorlage/datenschutz-unity/",TRUE,TRUE,FALSE,2021-06-16 09:15:23
"Video callfrom Siren Head","com.TgrTeam.SirenHead","Entertainment",0,0,"500+",500,938,TRUE,0,"USD","21M","4.4 and up","TgrTeam",NA,"tgr.team@hotmail.com","Feb 20, 2021","Mar 24, 2021","Everyone","https://tgrteamx.blogspot.com/2021/01/team-built-app-as-free-app.html",TRUE,FALSE,FALSE,2021-06-16 04:34:29
"C.Kamura","com.b2beauty.beautyapp.v8","Beauty",0,0,"100+",100,170,TRUE,0,"USD","19M","4.1 and up","AGENDA BELEZA S/A","http://www.ckamura.com.br/","mobile@beautydate.com","Sep 26, 2018","May 21, 2021","Everyone","https://agendabeleza-production.firebaseapp.com/whitelabel/privacy/",FALSE,FALSE,FALSE,2021-06-16 12:09:43
"Diamond Crush","com.msaapps.diamonds","Casual",4.1,116,"10,000+",10000,37490,TRUE,0,"USD","25M","2.3 and up","MSA Apps","http://msaapps.com","malamri@msaapps.com","Apr 24, 2016","Apr 25, 2016","Everyone","https://moga111.bitbucket.io/index.html",TRUE,FALSE,FALSE,2021-06-16 07:20:16
"FunHub Videos","com.funvideos.play.online","Entertainment",2,131,"50,000+",50000,59009,TRUE,0,"USD","5.3M","4.4 and up","Nikhil Pawar",NA,"nikhilpawar151@gmail.com","Apr 30, 2020","Apr 30, 2020","Everyone","http://muchfun.website/web/1875/pp.html",TRUE,FALSE,FALSE,2021-06-16 06:06:46
"Solitaire Superstars Lite","com.AfterDarkStudios.SpiderSolitaire3D.lite","Card",3.9,7,"1,000+",1000,2255,TRUE,0,"USD","20M","3.0 and up","After Dark Studios Ltd","http://www.AfterDarkStudios.co.uk","support@AfterDarkStudios.co.uk","Jun 7, 2017","Mar 21, 2021","Everyone","http://www.afterdarkstudios.co.uk/privacy-policy.html",TRUE,FALSE,FALSE,2021-06-16 06:45:02
"Find the Ghost 3D","com.ElfizMedia.FindTheGhost3D","Adventure",2.8,5,"1,000+",1000,1714,TRUE,0,"USD","38M","4.4 and up","Elfiz Media","https://www.paranormalwarfare.com/","elfbiltekin@gmail.com","Oct 31, 2019","Nov 04, 2019","Teen","http://www.paranormalwarfare.com/privacy/",TRUE,FALSE,FALSE,2021-06-16 13:54:13
"<U+0645><U+0634><U+0627><U+0631><U+0643><U+0629> <U+062A><U+0637><U+0628><U+064A><U+0642><U+0627><U+062A> <U+0627><U+0644><U+0623><U+0646><U+062F><U+0631><U+0648><U+064A><U+062F>","com.ostmapps.listapps","Tools",4.5,40,"5,000+",5000,5239,TRUE,0,"USD","123k","2.2 and up","<U+0627><U+062C><U+0645><U+0644> <U+0627><U+0644><U+062A><U+0637><U+0628><U+064A><U+0642><U+0627><U+062A> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629>","http://www.os-tm.com/","caftrab@gmail.com","Jul 15, 2015","Jul 16, 2015","Everyone",NA,TRUE,FALSE,FALSE,2021-06-15 22:42:06
